Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Antlr 3.4.1.9004,,,,,"Antlr, 3.4.1.9004  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.AspNet.Mvc 5.2.3,,,,,"Microsoft.AspNet.Mvc, 5.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.AspNet.Razor 3.2.3,,,,,"Microsoft.AspNet.Razor, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.AspNet.WebPages 3.2.3,,,,,"Microsoft.AspNet.WebPages, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.Bcl.AsyncInterfaces 1.0.0,,,,,"Microsoft.Bcl.AsyncInterfaces, 1.0.0  Recommendation:  Remove Microsoft.Bcl.AsyncInterfaces, and replace with new package Microsoft.Bcl.AsyncInterfaces 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 1.0.0,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 1.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.Data.Edm 5.6.4,,,,,"Microsoft.Data.Edm, 5.6.4  Recommendation:  Microsoft.Data.Edm, 5.8.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.Data.OData 5.6.4,,,,,"Microsoft.Data.OData, 5.6.4  Recommendation:  Microsoft.Data.OData, 5.8.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.Data.Services.Client 5.6.4,,,,,"Microsoft.Data.Services.Client, 5.6.4  Recommendation:  Microsoft.Data.Services.Client, 5.8.5"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.Net.Compilers 1.0.0,,,,,"Microsoft.Net.Compilers, 1.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Newtonsoft.Json 6.0.8,,,,,"Newtonsoft.Json, 6.0.8  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Diagnostics.DiagnosticSource 4.6.0,,,,,"System.Diagnostics.DiagnosticSource, 4.6.0  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Memory 4.5.4,,,,,"System.Memory, 4.5.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Memory.Data 1.0.2,,,,,"System.Memory.Data, 1.0.2  Recommendation:  Remove System.Memory.Data, and replace with new package System.Memory.Data 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Runtime.CompilerServices.Unsafe 4.6.0,,,,,"System.Runtime.CompilerServices.Unsafe, 4.6.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Spatial 5.6.4,,,,,"System.Spatial, 5.6.4  Recommendation:  System.Spatial, 5.8.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Text.Encodings.Web 4.7.2,,,,,"System.Text.Encodings.Web, 4.7.2  Recommendation:  Remove System.Text.Encodings.Web, and replace with new package System.Text.Encodings.Web 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Text.Json 4.6.0,,,,,"System.Text.Json, 4.6.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Threading.Tasks.Extensions 4.5.2,,,,,"System.Threading.Tasks.Extensions, 4.5.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Azure.Storage.Blobs 12.9.1,,,,,"Azure.Storage.Blobs, 12.9.1  Recommendation:  Azure.Storage.Blobs, 12.29.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,bootstrap 3.0.0,,,,,"bootstrap, 3.0.0  Recommendation:  bootstrap, 5.3.8"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,jQuery 1.10.2,,,,,"jQuery, 1.10.2  Recommendation:  jQuery, 3.7.1"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,jQuery.Validation 1.11.1,,,,,"jQuery.Validation, 1.11.1  Recommendation:  jQuery.Validation, 1.21.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  Should be replaced. Remove Microsoft.AspNet.Web.Optimization, and replace with new package LigerShark.WebOptimizer.Core, 3.0.477"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.Data.OData 5.6.4,,,,,"Microsoft.Data.OData, 5.6.4  Recommendation:  Microsoft.Data.OData, 5.8.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Microsoft.jQuery.Unobtrusive.Validation 3.2.3,,,,,"Microsoft.jQuery.Unobtrusive.Validation, 3.2.3  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.jQuery.Unobtrusive.Validation, and replace with new package Microsoft.jQuery.Unobtrusive.Validation, 4.0.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,Newtonsoft.Json 6.0.8,,,,,"Newtonsoft.Json, 6.0.8  Recommendation:  Newtonsoft.Json, 13.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,System.Text.Json 4.6.0,,,,,"System.Text.Json, 4.6.0  Recommendation:  Versions targeting out-of-support .NET versions Remove System.Text.Json, and replace with new package System.Text.Json, 10.0.8"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Feature.0001,System.Web.Optimization bundling and minification is not supported in .NET Core and should be replaced with actual html tags pointing to content files,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Views\Shared\_Layout.cshtml,,,,,,,,
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Global.asax.cs,,,,,,,,
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,Newtonsoft.Json,,,Manual redirect for Newtonsoft.Json targets 6.0.0.0 but auto-generation would target 6.0.8 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Numerics.Vectors,,,Manual redirect for System.Numerics.Vectors targets 4.1.4.0 but auto-generation would target 4.5.0 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Runtime.CompilerServices.Unsafe,,,Manual redirect for System.Runtime.CompilerServices.Unsafe targets 4.0.5.0 but auto-generation would target 4.6.0 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Buffers,,,Manual redirect for System.Buffers targets 4.0.3.0 but auto-generation would target 4.5.1 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Memory,,,Manual redirect for System.Memory targets 4.0.1.1 but auto-generation would target 4.5.4 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.ValueTuple,,,Manual redirect for System.ValueTuple targets 4.0.3.0 but auto-generation would target 4.5.0 (MSB3836 conflict)
Binding.0006,Manual redirect conflicts with auto-generated version,Active,Mandatory,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Text.Encodings.Web,,,Manual redirect for System.Text.Encodings.Web targets 4.0.5.1 but auto-generation would target 4.7.2 (MSB3836 conflict)
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,Newtonsoft.Json,,,Binding redirect for Newtonsoft.Json targets 6.0.0.0 but package provides 6.0.8
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Buffers,,,Binding redirect for System.Buffers targets 4.0.3.0 but package provides 4.5.1
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Memory,,,Binding redirect for System.Memory targets 4.0.1.1 but package provides 4.5.4
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Numerics.Vectors,,,Binding redirect for System.Numerics.Vectors targets 4.1.4.0 but package provides 4.5.0
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Runtime.CompilerServices.Unsafe,,,Binding redirect for System.Runtime.CompilerServices.Unsafe targets 4.0.5.0 but package provides 4.6.0
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.Text.Encodings.Web,,,Binding redirect for System.Text.Encodings.Web targets 4.0.5.1 but package provides 4.7.2
Binding.0007,Binding redirect forces version downgrade,Active,Potential,1,WebApp-Storage-DotNet\WebApp-Storage-DotNet.csproj,File,WebApp-Storage-DotNet\Web.config,,,,,System.ValueTuple,,,Binding redirect for System.ValueTuple targets 4.0.3.0 but package provides 4.5.0
